water_area(km_sq),FType,FCode,water_perim(m),bay_perim(m),bay_area(m_sq),x_centroid_bay(lon),y_centroid_bay(lat)
0.059828,390,39004,0.009053,3795.3356,899885.3737,-77.282621,37.386248
0.001909,390,39004,0.003626,24963.22468,8070984.312,-75.64016,37.769035
0.000327,390,39004,0.00074,4268.3012,1126853.317,-76.766255,36.811742
0.003335,390,39004,0.003439,9027.046697,2816259.865,-75.959841,37.232436
0.003481,390,39004,0.004517,2961.52428,542298.4306,-75.562784,37.877957
0.00297,390,39011,0.002104,8151.378942,2488883.592,-75.585276,37.824062
0.002895,436,43613,0.003479,4767.373568,960968.4896,-75.552184,37.882067
0.003418,390,39004,0.003006,14030.91049,4006593.131,-75.544766,37.899186
0.001422,390,39004,0.001422,18349.6301,12622875.94,-75.635225,37.913642
0.000389,390,39004,0.000995,4055.26863,1027733.404,-75.662175,37.884497
0.00104,390,39004,0.001268,7599.538009,2239008.841,-75.609083,37.940039
0.003572,390,39011,0.003749,750.37396,35182.01974,-75.516184,38.003892
0.003361,390,39004,0.003749,5513.025606,1840280.628,-75.960451,37.216975
0.014461,390,39004,0.006584,2935.783702,538242.5367,-75.946098,37.32678
0.001847,436,43613,0.002868,11530.09409,4962661.703,-75.895676,37.407804
0.004257,436,43613,0.00361,7224.905658,3245707.209,-75.882617,37.432273
0.00558,390,39011,0.003036,10524.60896,4011100.442,-75.87085,37.454054
0.00546,390,39004,0.003174,11949.84469,5423242.963,-75.84753,37.493033
0.001431,390,39004,0.002187,6142.73321,1710904.087,-75.931978,37.503836
0.007383,390,39004,0.003449,8657.083508,3478279.802,-75.815113,37.544143
0.002736,390,39004,0.002941,1549.339629,149535.4072,-75.86101,37.585179
0.001598,390,39004,0.0019,18686.81405,7850635.289,-75.771005,37.619424
0.00042,390,39004,0.000805,7347.955184,2142128.667,-75.799698,37.595922
0.003328,390,39004,0.004042,6867.321509,2231780.368,-75.818066,37.606433
0.001013,390,39004,0.001283,20595.88767,7974894.706,-75.738788,37.66012
0.000393,390,39004,0.000841,1950.458285,235268.8252,-75.70721,37.684526
