dist_to_water(m),car_bay_x_centroid(lon),car_bay_y_centroid(lat),perim_bay,xmin_bay(lon),ymin_bay(lat),xmax_bay(lon),ymax_bay(lat),area_water_body(km_sq),FType,FCode,area_bay(m_sq),perim_water(m)
4687.161094,-74.584448,40.060903,545.563075,-74.585562,40.059844,-74.583885,40.061435,0.037,390,39004,12575.51875,0.01286
5111.023799,-74.479615,40.037305,673.318658,-74.481088,40.036069,-74.478871,40.037927,0.055,390,39004,19400.32076,0.023023
5679.95237,-74.48591,40.044875,785.53519,-74.487367,40.043251,-74.485172,40.045692,0.055,390,39004,25263.32423,0.023023
1293.69157,-74.906217,40.064557,541.941017,-74.907464,40.063608,-74.905593,40.065032,0.001,390,39004,12597.28115,0.001412
1434.187083,-74.907488,40.065542,555.692985,-74.908843,40.064629,-74.90681,40.065999,0.001,390,39004,13163.25755,0.001412
900.375414,-74.911944,40.06107,1245.130315,-74.914744,40.05884,-74.910543,40.062186,0.003,390,39004,66470.49909,0.002079
1312.476741,-74.908382,40.06383,458.627379,-74.909555,40.063122,-74.907796,40.064185,0.001,390,39004,8839.104949,0.001412
5705.231688,-74.708385,40.063947,607.858088,-74.709748,40.062855,-74.707701,40.064496,0.001,390,39004,15840.28211,0.001431
5714.477766,-74.708352,40.063927,562.72895,-74.709643,40.062939,-74.707703,40.064423,0.001,390,39004,13582.42689,0.001431
7351.772261,-74.666989,40.077219,1141.224564,-74.670055,40.075586,-74.66545,40.078043,0,390,39004,53260.56134,0.000522
4671.413682,-74.58425,40.060792,561.9268,-74.585462,40.059747,-74.58364,40.061318,0.037,390,39004,13485.00692,0.01286
7544.058807,-74.480856,40.06206,1339.144364,-74.483599,40.059467,-74.47947,40.063366,0.055,390,39004,75831.27111,0.023023
10294.23668,-74.446325,40.078754,696.720446,-74.448446,40.077995,-74.445259,40.079141,0.004,390,39004,17064.94005,0.004579
9427.350433,-74.459365,40.072683,512.186895,-74.460512,40.071762,-74.458785,40.073147,0.055,390,39004,11246.97178,0.023023
77192.86874,-74.487084,40.72282,443.934877,-74.488112,40.722041,-74.486565,40.723213,0.002,390,39004,8453.022054,0.002152
77313.9316,-74.462284,40.711706,565.803466,-74.463487,40.710635,-74.461675,40.712246,0.037,390,39004,13621.4262,0.01286
76879.08695,-74.463712,40.707539,370.536679,-74.464501,40.706838,-74.463313,40.707892,0.037,390,39004,5843.874835,0.01286
5553.1269,-74.801847,40.090937,475.001917,-74.802862,40.090047,-74.801337,40.091384,0.016,390,39004,9620.508685,0.007948
7515.191998,-74.533132,40.08142,574.828973,-74.534446,40.080406,-74.53247,40.08193,0.037,390,39004,14173.13079,0.01286
7332.617835,-74.531015,40.078954,611.145561,-74.532292,40.077788,-74.53037,40.07954,0.037,390,39004,15865.13077,0.01286
9186.747035,-74.51024,40.088583,383.444515,-74.511053,40.08786,-74.509829,40.088947,0.037,390,39004,6262.673239,0.01286
13771.76938,-74.350326,40.078689,1188.395388,-74.35297,40.07654,-74.348989,40.079775,0.004,390,39004,60524.68369,0.004579
16022.65431,-74.336758,40.095882,574.583099,-74.338097,40.094889,-74.336081,40.096384,0.004,390,39004,14151.70892,0.004579
15930.56438,-74.309882,40.085319,571.705184,-74.311017,40.084187,-74.309305,40.08589,0.001,390,39004,13709.00666,0.001148
15496.69146,-74.324461,40.085662,699.494766,-74.32596,40.084354,-74.323702,40.086322,0.001,390,39004,20881.67339,0.001148
15999.01155,-74.31153,40.086538,573.90145,-74.312672,40.085403,-74.31095,40.08711,0.001,390,39004,13822.6101,0.001148
15800.33091,-74.309023,40.083632,573.836204,-74.310292,40.082589,-74.308381,40.084159,0.001,390,39004,14106.18447,0.001148
15500.4326,-74.304908,40.079742,924.61033,-74.306862,40.077995,-74.303917,40.080625,0.001,390,39004,36402.5722,0.001148
