id,x_centroid(lon),y_centroid(lat),perimeter(m),area(m_sq),majority_landuse,min_elev(m),max_elev(m),range_elev(m),mean_elev(m),std_elev(m),xmin(lon),ymin(lat),xmax(lon),ymax(lat),bearing(deg),length_to_width_ratio,diagonal(m),lengths(m),widths(m),STATE_NAME,SUB_REGION
1,-81.476771,33.318998,2105.174246,272854.3256,213,81.67028,92.650543,10.980263,84.22565,1.847659,-81.496593,32.730972,-81.487343,32.739381,-7.665404267,1.080671602,1273.916202,935.0381369,865.2380011,South Carolina,South Atlantic
2,-84.441993,31.152976,2496.242368,388770.6088,38,37.142353,48.119102,10.976749,41.724196,2.40391,-84.826411,30.979836,-84.822334,30.983902,-5.143111886,1.16323984,596.2135224,452.1185698,388.6718407,Georgia,South Atlantic
3,-83.487778,31.76304,2603.600645,423655.0524,556,102.154053,113.127052,10.973,107.033777,2.778956,-77.623844,35.163031,-77.609513,35.168108,-4.348402094,2.307628764,1419.763987,1302.740996,564.536643,Georgia,South Atlantic
4,-83.327486,31.334884,1877.825904,212272.6535,38,78.32663,89.29171,10.96508,84.056395,3.41925,-77.251747,35.307995,-77.240501,35.316859,-9.878356116,1.035353838,1418.707413,1020.477698,985.6318298,Georgia,South Atlantic
5,-79.146471,34.864925,4586.909105,1314766.844,556,55.000446,65.965172,10.964725,61.622596,1.899376,-80.289497,34.176332,-80.286399,34.179495,-9.775921526,1.234093573,452.6790006,351.709552,284.9942335,North Carolina,South Atlantic
6,-81.280291,32.871705,5864.357734,2149210.21,568,33.027588,43.983082,10.955494,38.859869,3.099477,-82.621452,31.149002,-82.617584,31.152579,-6.777140621,1.080556557,541.929072,397.7442536,368.0920272,South Carolina,South Atlantic
7,-80.814326,33.652341,2795.230905,488332.1598,256,91.678886,102.631317,10.952431,94.624853,2.385645,-80.033657,33.896012,-80.021045,33.907334,-8.844069819,1.081519507,1714.58399,1258.948958,1164.05571,South Carolina,South Atlantic
8,-81.255752,33.072195,3314.732724,685141.8065,213,49.898529,60.847721,10.949192,53.228749,2.111452,-81.071422,33.21611,-81.064372,33.222387,-7.875044615,1.064240529,957.7353329,697.9705543,655.8391035,South Carolina,South Atlantic
9,-81.328775,32.812289,7653.338595,3618716.294,38,36.10051,47.046234,10.945724,41.40056,2.046895,-81.570888,32.985949,-81.566945,32.989831,-8.217082229,1.173729978,567.0763341,431.6587006,367.7666148,South Carolina,South Atlantic
10,-81.462342,32.68825,1552.982138,149411.2218,38,26.443518,37.380913,10.937395,28.958682,2.327023,-81.56118,32.88213,-81.553289,32.894311,-12.77771173,1.838148509,1541.904794,1354.465401,736.8639665,Georgia,South Atlantic
11,-84.328517,31.12045,4058.522363,1028892.076,556,35.07914,46.014809,10.935669,39.228159,2.801784,-75.598392,37.811596,-75.595823,37.813517,-10.54168682,1.05652757,310.7369475,225.6800514,213.6054542,Georgia,South Atlantic
12,-75.842975,38.612934,3757.839824,882571.3036,578,2.457892,13.36604,10.908148,10.177843,1.00015,-75.815935,39.051077,-75.813796,39.052671,-10.35404806,1.042104496,255.9917596,184.707509,177.2447098,Maryland,South Atlantic
13,-84.409647,31.776629,1343.176476,112404.9141,38,97.14962,108.049393,10.899773,101.625694,2.007957,-85.722343,31.122331,-85.714039,31.127319,-2.570442328,1.425174334,965.6182576,790.4591118,554.6402941,Georgia,South Atlantic
14,-81.463378,32.711494,1965.35431,241358.3362,38,21.441231,32.331779,10.890549,25.389443,2.119842,-81.251028,32.867322,-81.246114,32.871947,-8.152891224,1.120556446,689.2765288,514.2765315,458.9474572,Georgia,South Atlantic
15,-84.44067,31.498244,2061.755248,265595.9763,230,61.215885,72.094215,10.87833,62.689874,1.618568,-84.295011,31.156197,-84.289945,31.160209,-4.505578161,1.080578363,656.8035415,482.0611865,446.1140467,Georgia,South Atlantic
16,-81.406743,32.924934,3566.836366,789503.7961,568,38.53783,49.405949,10.868118,44.682106,2.690438,-78.71581,34.481852,-78.705481,34.489282,-8.021351087,1.145928945,1256.507249,946.7416303,826.1783024,South Carolina,South Atlantic
